
2024/12/24 (13:12:55) | ===> btop++ v.1.4.0
2024/12/24 (13:12:55) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/25 (13:26:34) | ===> btop++ v.1.4.0
2024/12/25 (13:26:34) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/25 (21:06:21) | ===> btop++ v.1.4.0
2024/12/25 (21:06:21) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/26 (01:06:56) | ===> btop++ v.1.4.0
2024/12/26 (01:06:56) | WARNING: Failed to set locale zh_CN.UTF-8 continuing anyway.
2024/12/26 (01:06:56) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/28 (13:41:28) | ===> btop++ v.1.4.0
2024/12/28 (13:41:28) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/03 (10:20:27) | ===> btop++ v.1.4.0
2025/01/03 (10:20:27) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/03 (10:46:00) | ===> btop++ v.1.4.0
2025/01/03 (10:46:00) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/05 (13:09:47) | ===> btop++ v.1.4.0
2025/01/05 (13:09:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/05 (13:45:48) | ===> btop++ v.1.4.0
2025/01/05 (13:45:48) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/05 (23:30:21) | ===> btop++ v.1.4.0
2025/01/05 (23:30:21) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/05 (23:36:58) | ===> btop++ v.1.4.0
2025/01/05 (23:36:58) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/06 (11:55:35) | ===> btop++ v.1.4.0
2025/01/06 (11:55:35) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/07 (21:56:12) | ===> btop++ v.1.4.0
2025/01/07 (21:56:12) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/07 (23:32:24) | ===> btop++ v.1.4.0
2025/01/07 (23:32:24) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/07 (23:34:17) | ===> btop++ v.1.4.0
2025/01/07 (23:34:17) | WARNING: Intel GPU: Failed to initialize PMU
